epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.221,1.36095,1.94841,0.00823,0.87102,0.84738,0.90139,0.56638,1.37198,0.72447,0.01247,0.000665347,0.000665347,0.000665347
2,307.861,1.42959,0.75277,0.00883,0.87438,0.83508,0.90261,0.5503,1.43871,0.68408,0.01333,0.00130564,0.00130564,0.00130564
3,454.608,1.42964,0.74155,0.00907,0.88862,0.84327,0.91474,0.57523,1.37276,0.71639,0.01317,0.00191953,0.00191953,0.00191953
4,600.329,1.39586,0.69551,0.00872,0.93585,0.83462,0.92914,0.57675,1.3816,0.59951,0.01285,0.0018812,0.0018812,0.0018812
5,745.882,1.34566,0.62948,0.00817,0.93357,0.85159,0.9356,0.6228,1.27445,0.5849,0.01191,0.0018416,0.0018416,0.0018416
6,890.222,1.3232,0.60077,0.00804,0.90178,0.85923,0.92552,0.59922,1.3234,0.63387,0.01171,0.001802,0.001802,0.001802
7,1035.11,1.3112,0.58724,0.00792,0.9426,0.89036,0.93805,0.62088,1.30795,0.56843,0.01241,0.0017624,0.0017624,0.0017624
8,1181.73,1.30563,0.56619,0.00785,0.9366,0.86816,0.94487,0.63895,1.22584,0.51964,0.01055,0.0017228,0.0017228,0.0017228
9,1325.71,1.28351,0.55553,0.00763,0.94593,0.89261,0.95715,0.64013,1.24311,0.45992,0.01059,0.0016832,0.0016832,0.0016832
10,1470.26,1.26823,0.51752,0.00737,0.93203,0.9058,0.95932,0.6508,1.21762,0.47895,0.01041,0.0016436,0.0016436,0.0016436
11,1615.69,1.2561,0.50489,0.00743,0.93758,0.90433,0.96352,0.66049,1.22237,0.46115,0.01044,0.001604,0.001604,0.001604
12,1762.73,1.25691,0.50551,0.00731,0.94779,0.90148,0.96284,0.65456,1.24226,0.44614,0.01078,0.0015644,0.0015644,0.0015644
13,1908.54,1.22988,0.49573,0.00718,0.94311,0.89795,0.95735,0.64867,1.22076,0.47675,0.01027,0.0015248,0.0015248,0.0015248
14,2054.28,1.2177,0.47829,0.00705,0.94559,0.91526,0.96547,0.66256,1.19897,0.43943,0.01057,0.0014852,0.0014852,0.0014852
15,2199.79,1.21573,0.48842,0.00705,0.94637,0.91344,0.96324,0.66822,1.19623,0.44238,0.01008,0.0014456,0.0014456,0.0014456
16,2345.69,1.21227,0.46346,0.00696,0.96275,0.9139,0.96908,0.67225,1.17234,0.40868,0.00982,0.001406,0.001406,0.001406
17,2489.09,1.20084,0.45477,0.0069,0.93541,0.91481,0.96342,0.67422,1.1809,0.42705,0.00971,0.0013664,0.0013664,0.0013664
18,2632.07,1.2048,0.46579,0.00693,0.94004,0.9262,0.96836,0.66486,1.17711,0.4187,0.00957,0.0013268,0.0013268,0.0013268
19,2775.54,1.18899,0.44099,0.00678,0.9594,0.9258,0.96822,0.67136,1.19673,0.39588,0.01001,0.0012872,0.0012872,0.0012872
20,2918.6,1.17714,0.44625,0.00665,0.94567,0.9358,0.97163,0.68159,1.15862,0.38757,0.00949,0.0012476,0.0012476,0.0012476
21,3061.65,1.18266,0.44585,0.00675,0.94699,0.92777,0.9692,0.6822,1.15089,0.39693,0.00926,0.001208,0.001208,0.001208
22,3204.78,1.17619,0.42912,0.00669,0.96585,0.92301,0.97484,0.68857,1.13999,0.37829,0.00926,0.0011684,0.0011684,0.0011684
23,3348.16,1.16938,0.43787,0.00654,0.9586,0.92711,0.97431,0.6863,1.14342,0.3732,0.00923,0.0011288,0.0011288,0.0011288
24,3491.46,1.16431,0.42066,0.00646,0.96691,0.91858,0.97198,0.69583,1.14214,0.39275,0.00933,0.0010892,0.0010892,0.0010892
25,3634.48,1.13764,0.42145,0.00639,0.962,0.92984,0.97289,0.68375,1.1499,0.37597,0.00941,0.0010496,0.0010496,0.0010496
26,3777.54,1.14769,0.40996,0.00639,0.96314,0.94045,0.97581,0.68554,1.14371,0.37158,0.00935,0.00101,0.00101,0.00101
27,3920.4,1.15026,0.40027,0.00646,0.97595,0.92445,0.97518,0.6978,1.12941,0.37034,0.00915,0.0009704,0.0009704,0.0009704
28,4063.54,1.12793,0.40687,0.00621,0.96682,0.93166,0.97285,0.69096,1.12361,0.37413,0.00891,0.0009308,0.0009308,0.0009308
29,4206.57,1.12143,0.40629,0.00626,0.96982,0.9426,0.97808,0.69729,1.11859,0.37115,0.00906,0.0008912,0.0008912,0.0008912
30,4349.02,1.11197,0.39482,0.00618,0.9671,0.94077,0.97598,0.69794,1.13178,0.3688,0.00903,0.0008516,0.0008516,0.0008516
31,4491.74,1.12649,0.39292,0.00613,0.96505,0.9434,0.97566,0.70682,1.12628,0.37933,0.00899,0.000812,0.000812,0.000812
32,4634.53,1.10302,0.38779,0.00616,0.97579,0.93637,0.97673,0.7057,1.11285,0.3564,0.00876,0.0007724,0.0007724,0.0007724
33,4777.29,1.09498,0.37861,0.00601,0.97165,0.93941,0.97792,0.70605,1.10391,0.35403,0.00848,0.0007328,0.0007328,0.0007328
34,4920.03,1.08994,0.36697,0.00588,0.97355,0.93913,0.9797,0.71521,1.10473,0.35179,0.00859,0.0006932,0.0006932,0.0006932
35,5062.92,1.07915,0.36612,0.00586,0.97273,0.94243,0.98107,0.70625,1.10893,0.34798,0.00875,0.0006536,0.0006536,0.0006536
36,5205.71,1.0764,0.36336,0.00587,0.97283,0.94351,0.98011,0.71076,1.09686,0.34808,0.00854,0.000614,0.000614,0.000614
37,5348.33,1.06793,0.3516,0.00575,0.9679,0.94487,0.98088,0.71661,1.09446,0.35287,0.0085,0.0005744,0.0005744,0.0005744
38,5491.04,1.06722,0.34548,0.00579,0.96128,0.94442,0.97845,0.71826,1.10186,0.34802,0.00845,0.0005348,0.0005348,0.0005348
39,5633.91,1.06143,0.35099,0.00577,0.96282,0.94624,0.98025,0.71603,1.09824,0.34785,0.00857,0.0004952,0.0004952,0.0004952
40,5776.66,1.04527,0.34317,0.00565,0.97094,0.94361,0.97926,0.71843,1.09307,0.34505,0.00843,0.0004556,0.0004556,0.0004556
41,5940.24,1.03691,0.30341,0.00688,0.96939,0.94715,0.97853,0.71508,1.10293,0.35623,0.00857,0.000416,0.000416,0.000416
42,6082.55,1.02743,0.2966,0.0068,0.97179,0.94169,0.97901,0.71725,1.10249,0.34942,0.00845,0.0003764,0.0003764,0.0003764
43,6224.6,1.01918,0.29437,0.00664,0.97318,0.94305,0.97869,0.71926,1.09932,0.35067,0.00845,0.0003368,0.0003368,0.0003368
44,6367,1.01326,0.28951,0.00662,0.97459,0.94376,0.97824,0.71949,1.08675,0.34287,0.00828,0.0002972,0.0002972,0.0002972
45,6509.22,1.00148,0.29446,0.00655,0.97556,0.93713,0.97822,0.72107,1.08636,0.34901,0.00835,0.0002576,0.0002576,0.0002576
46,6651.22,0.99141,0.28766,0.00645,0.97542,0.94487,0.97804,0.72456,1.08382,0.3462,0.00827,0.000218,0.000218,0.000218
47,6793.22,0.98271,0.27804,0.00636,0.97229,0.94487,0.97785,0.72233,1.08835,0.34602,0.00834,0.0001784,0.0001784,0.0001784
48,6935.08,0.97867,0.27481,0.00634,0.97877,0.94579,0.9787,0.72508,1.08359,0.34171,0.00824,0.0001388,0.0001388,0.0001388
49,7077.05,0.97236,0.27505,0.00625,0.97966,0.94352,0.97868,0.72517,1.084,0.34553,0.00823,9.92e-05,9.92e-05,9.92e-05
50,7219.08,0.97169,0.27276,0.00622,0.97778,0.94224,0.97782,0.72685,1.07925,0.3479,0.00818,5.96e-05,5.96e-05,5.96e-05
